LSOA21CD,LSOA21NM,LSOA21NMW,WD22CD,WD22NM,WD22NMW,LAD22CD,LAD22NM,LAD22NMW,ObjectId
E01003061,Lambeth 011F,,E05014096,Brixton North,,E09000022,Lambeth,,32330
E01033866,Lambeth 004J,,E05014117,Vauxhall,,E09000022,Lambeth,,32331
E01003045,Lambeth 011A,,E05014096,Brixton North,,E09000022,Lambeth,,32334
E01003048,Lambeth 009B,,E05014096,Brixton North,,E09000022,Lambeth,,32335
E01003046,Lambeth 009A,,E05014096,Brixton North,,E09000022,Lambeth,,32336
E01003177,Lambeth 020D,,E05014097,Brixton Rush Common,,E09000022,Lambeth,,32337
E01003172,Lambeth 024B,,E05014097,Brixton Rush Common,,E09000022,Lambeth,,32338
E01033863,Lambeth 003G,,E05014117,Vauxhall,,E09000022,Lambeth,,32339
E01033862,Lambeth 003F,,E05014117,Vauxhall,,E09000022,Lambeth,,32340
E01003102,Lambeth 004A,,E05014117,Vauxhall,,E09000022,Lambeth,,32341
E01033208,Lambeth 004G,,E05014117,Vauxhall,,E09000022,Lambeth,,32457
E01033865,Lambeth 004I,,E05014117,Vauxhall,,E09000022,Lambeth,,32509
E01003105,Lambeth 003B,,E05014117,Vauxhall,,E09000022,Lambeth,,32510
E01003013,Lambeth 036A,,E05014118,Waterloo & South Bank,,E09000022,Lambeth,,32511
E01003017,Lambeth 036D,,E05014118,Waterloo & South Bank,,E09000022,Lambeth,,32512
E01003014,Lambeth 036B,,E05014118,Waterloo & South Bank,,E09000022,Lambeth,,32513
E01003016,Lambeth 036C,,E05014118,Waterloo & South Bank,,E09000022,Lambeth,,32514
E01032582,Lambeth 036E,,E05014118,Waterloo & South Bank,,E09000022,Lambeth,,32516
E01003170,Lambeth 025E,,E05014119,West Dulwich,,E09000022,Lambeth,,32518
E01003064,Lambeth 028A,,E05014119,West Dulwich,,E09000022,Lambeth,,32520
E01003165,Lambeth 025B,,E05014119,West Dulwich,,E09000022,Lambeth,,32605
E01003168,Lambeth 025C,,E05014119,West Dulwich,,E09000022,Lambeth,,32610
E01003167,Lambeth 028E,,E05014119,West Dulwich,,E09000022,Lambeth,,32615
