AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,24,1200.111,1219.883,1243.316,1268.585,1309.431,1339.823,1332.602,1320.177,1344.034,1388.355,1381.947,1394.482,1412.699,1411.586,1382.95,1354.601,1352.502,1366.985,1337.156,1316.568,1307.362,1290.371,1263.448,1275.144,1226.712
E09000022,Lambeth,Internal migration in,males,25,1007.22,1067.901,1079.663,1074.532,1087.898,1119.576,1148.71,1146.439,1135.791,1156.15,1192.468,1187.289,1197.427,1211.819,1211.023,1186.011,1162.271,1160.685,1172.414,1147.388,1129.889,1121.878,1107.767,1085.003,1095.153
E09000022,Lambeth,Internal migration in,males,26,998.798,1025.11,1068.228,1056.076,1045.105,1057.226,1090.344,1122.053,1121.187,1110.692,1130.292,1165.46,1160.59,1170.298,1184.26,1183.544,1159.298,1136.346,1134.732,1146.067,1121.855,1104.8,1097.066,1083.442,1061.274
E09000022,Lambeth,Internal migration in,males,27,989.304,1045.59,1060.267,1078.773,1061.612,1050.675,1064.959,1100.238,1132.656,1131.821,1121.369,1140.782,1175.961,1171.093,1180.722,1194.681,1194.036,1169.922,1147.086,1145.445,1156.772,1132.704,1115.647,1107.944,1094.433
E09000022,Lambeth,Internal migration in,males,28,1008.452,1059.538,1105.679,1097.683,1110.583,1093.807,1085.007,1101.655,1138.028,1171.01,1170.125,1159.492,1179.095,1214.867,1209.998,1219.666,1233.832,1233.26,1208.775,1185.605,1183.883,1195.391,1171.024,1153.594,1145.785
E09000022,Lambeth,Internal migration in,males,29,1015.705,1055.672,1095.362,1119.497,1107.379,1119.806,1105.211,1098.558,1115.397,1151.258,1183.968,1183.116,1172.582,1191.996,1227.677,1222.866,1232.43,1246.618,1246.101,1221.787,1198.76,1197.058,1208.515,1184.315,1166.945
E09000022,Lambeth,Internal migration in,males,30,607.929,655.141,676.033,689.57,700.952,692.155,701.321,695.045,692.061,702.632,724.953,745.758,744.816,737.773,749.6,771.04,768.072,773.687,782.032,781.516,766.474,752.465,751.301,758.263,743.44
E09000022,Lambeth,Internal migration in,males,31,607.676,623.868,663.216,670.097,679.763,691.003,684.053,694.03,688.29,685.227,695.353,716.919,737.084,736.239,729.444,740.936,761.861,758.98,764.43,772.605,772.147,757.528,743.899,742.777,749.557
E09000022,Lambeth,Internal migration in,males,32,597.253,615.467,624.568,649.417,652.487,661.634,673.901,668.719,678.583,673.052,669.947,679.485,700.086,719.439,718.665,712.155,723.147,743.284,740.524,745.753,753.65,753.23,739.217,726.141,725.067
E09000022,Lambeth,Internal migration in,males,33,560.745,588.555,600.414,597.283,617.5,619.709,629.103,642.07,637.882,646.996,641.682,638.512,647.36,666.575,684.687,684.035,677.958,688.248,707.215,704.614,709.531,717.006,716.621,703.496,691.235
