LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01004029,Southwark 001A,E09000028,Southwark,23642,8,20076,6,23588,7,23345,7,18734,6,16593,5,27861,9,14105,5
E01004030,Southwark 007A,E09000028,Southwark,13914,5,10824,4,12854,4,23153,7,12776,4,10219,4,21765,7,8529,3
E01004031,Southwark 007B,E09000028,Southwark,15005,5,14041,5,18244,6,22918,7,15641,5,4024,2,19146,6,8063,3
E01004032,Southwark 001B,E09000028,Southwark,31480,10,28959,9,32514,10,32979,10,24872,8,20797,7,22288,7,25756,8
E01004033,Southwark 007C,E09000028,Southwark,9829,3,8559,3,9689,3,17476,6,6755,3,7771,3,16393,5,10266,4
E01004034,Southwark 007D,E09000028,Southwark,7830,3,6878,3,9507,3,16879,6,7420,3,5352,2,11131,4,5388,2
E01004035,Southwark 011D,E09000028,Southwark,7810,3,7952,3,9084,3,13445,4,5446,2,6911,3,9818,3,8070,3
E01004036,Southwark 007E,E09000028,Southwark,7954,3,7171,3,8212,3,15398,5,10956,4,6428,2,8751,3,5471,2
E01004037,Southwark 010B,E09000028,Southwark,8888,3,8204,3,12845,4,14882,5,7812,3,13828,5,3321,1,6929,3
E01004038,Southwark 010C,E09000028,Southwark,11156,4,9097,3,10838,4,20969,7,12319,4,12491,4,5736,2,11051,4
E01004039,Southwark 013B,E09000028,Southwark,13540,5,11375,4,16018,5,18178,6,15249,5,14850,5,7019,3,8306,3
E01004040,Southwark 013C,E09000028,Southwark,5305,2,4543,2,6140,2,12794,4,9564,3,3326,1,4106,2,7333,3
E01004041,Southwark 013D,E09000028,Southwark,9900,3,7918,3,10988,4,13170,4,11366,4,11148,4,10007,3,7985,3
E01004042,Southwark 010D,E09000028,Southwark,4428,2,4467,2,4597,2,9035,3,3235,1,3994,2,10579,4,8099,3
E01004043,Southwark 010E,E09000028,Southwark,11440,4,11859,4,11683,4,16630,5,11392,4,10668,4,11564,4,5523,2
E01004044,Southwark 013E,E09000028,Southwark,7458,3,6037,2,7530,3,11125,4,8608,3,9594,3,10075,3,7945,3
E01004045,Southwark 027A,E09000028,Southwark,9120,3,6197,2,9156,3,19061,6,11515,4,15844,5,5228,2,8521,3
E01004046,Southwark 028E,E09000028,Southwark,15655,5,20158,6,16844,5,32731,10,14327,5,17917,6,6902,3,2379,1
E01004047,Southwark 027B,E09000028,Southwark,11188,4,9115,3,13642,5,16995,6,11431,4,30048,9,1977,1,10675,4
E01004048,Southwark 027C,E09000028,Southwark,15317,5,14818,5,15891,5,28834,9,17695,6,14955,5,4537,2,8164,3
E01004049,Southwark 027D,E09000028,Southwark,11531,4,8799,3,12430,4,24641,8,14526,5,22606,7,2927,1,7295,3
E01004050,Southwark 024D,E09000028,Southwark,21542,7,25047,8,27162,9,32611,10,29893,9,25129,8,3952,2,3208,1
E01004051,Southwark 027E,E09000028,Southwark,23073,7,28620,9,28927,9,32698,10,25391,8,21112,7,6740,2,3447,2
E01004052,Southwark 024E,E09000028,Southwark,16160,5,21121,7,18630,6,31978,10,13493,4,17887,6,5198,2,3396,2
E01004053,Southwark 001C,E09000028,Southwark,28419,9,24607,8,28903,9,32461,10,20325,7,21014,7,23698,8,17497,6
E01004054,Southwark 001D,E09000028,Southwark,29375,9,27900,9,30313,9,31808,10,23424,7,19175,6,25805,8,14597,5
E01004055,Southwark 001E,E09000028,Southwark,7378,3,5500,2,5911,2,7176,3,8606,3,11881,4,13153,4,18419,6
E01004056,Southwark 008A,E09000028,Southwark,18633,6,15119,5,17109,6,20606,7,12533,4,16521,5,24032,8,17537,6
E01004057,Southwark 008B,E09000028,Southwark,15719,5,12251,4,11799,4,25069,8,14051,5,19153,6,11727,4,17927,6
E01004058,Southwark 008C,E09000028,Southwark,31955,10,29281,9,32184,10,33605,10,28695,9,22398,7,24330,8,22370,7
E01004059,Southwark 008D,E09000028,Southwark,26461,8,23358,7,30307,9,27812,9,20409,7,12653,4,23383,7,17193,6
E01004060,Southwark 008E,E09000028,Southwark,11883,4,9673,3,12628,4,22350,7,11002,4,7253,3,12411,4,9639,3
E01004061,Southwark 025A,E09000028,Southwark,14902,5,19434,6,21193,7,27562,9,19232,6,9473,3,6609,2,1430,1
E01004062,Southwark 025B,E09000028,Southwark,9250,3,8586,3,13717,5,24027,8,10105,3,2518,1,4952,2,8913,3
E01004063,Southwark 025C,E09000028,Southwark,13430,4,14263,5,15932,5,32255,10,17046,6,6656,2,7876,3,3136,1
E01004064,Southwark 026D,E09000028,Southwark,10137,4,7540,3,10142,4,19593,6,13271,4,7195,3,12244,4,7368,3
E01004065,Southwark 025D,E09000028,Southwark,16966,6,17576,6,17842,6,29755,9,16318,5,18586,6,13895,5,2755,1
E01004066,Southwark 025E,E09000028,Southwark,11414,4,9774,3,11623,4,21862,7,20457,7,11615,4,5989,2,4313,2
E01004067,Southwark 022E,E09000028,Southwark,6010,2,5907,2,8673,3,16382,5,17661,6,668,1,4879,2,3962,2
E01004068,Southwark 026E,E09000028,Southwark,7783,3,7411,3,7254,3,17509,6,7863,3,7099,3,8403,3,7231,3
E01004069,Southwark 031A,E09000028,Southwark,27341,9,32688,10,33557,10,33684,10,33357,10,20266,7,25526,8,1450,1
E01004070,Southwark 031B,E09000028,Southwark,19909,6,21196,7,24839,8,32242,10,26578,8,22459,7,10644,4,1283,1
E01004071,Southwark 030D,E09000028,Southwark,12628,4,15302,5,15679,5,28774,9,12628,4,15582,5,3669,2,2556,1
E01004072,Southwark 030E,E09000028,Southwark,23550,7,28785,9,28614,9,33181,10,31527,10,28333,9,12132,4,1004,1
E01004073,Southwark 031C,E09000028,Southwark,23575,7,25933,8,27079,9,33301,10,26934,8,29684,9,16856,5,1403,1
E01004074,Southwark 031D,E09000028,Southwark,23404,7,29822,9,29395,9,33292,10,32780,10,16050,5,21825,7,654,1
E01004075,Southwark 031E,E09000028,Southwark,26320,8,32527,10,32774,10,33712,10,33335,10,20528,7,22032,7,1133,1
E01032582,Lambeth 036E,E09000022,Lambeth,17105,6,16970,6,21912,7,27050,9,12553,4,11797,4,9405,3,8208,3
E01032583,Southwark 034D,E09000028,Southwark,12242,4,13055,4,11758,4,23035,7,7796,3,19750,6,9357,3,5432,2
E01032584,Southwark 034E,E09000028,Southwark,11078,4,12225,4,12910,4,25007,8,9471,3,8528,3,7031,3,4427,2
E01032637,Southwark 035E,E09000028,Southwark,29531,9,33588,10,33693,10,33694,10,25580,8,31131,10,8988,3,10791,4
E01032638,Southwark 035D,E09000028,Southwark,32137,10,33387,10,32292,10,33646,10,27822,9,31545,10,19482,6,16512,5
E01032639,Southwark 014F,E09000028,Southwark,17423,6,17440,6,23789,8,27415,9,12442,4,9660,3,12078,4,6940,3
E01032640,Southwark 035B,E09000028,Southwark,27956,9,33494,10,33685,10,30275,9,21587,7,23663,8,20192,6,4827,2
E01032646,Southwark 036B,E09000028,Southwark,23940,8,24914,8,28627,9,29659,9,18493,6,22233,7,14153,5,6090,2
E01032719,Southwark 014G,E09000028,Southwark,11887,4,11644,4,13453,4,19318,6,9822,3,7222,3,13297,4,7214,3
E01032803,Southwark 036C,E09000028,Southwark,20895,7,18966,6,27577,9,22132,7,11563,4,22164,7,13007,4,12141,4
E01032834,Southwark 035C,E09000028,Southwark,28175,9,33318,10,33670,10,32947,10,24936,8,26087,8,11882,4,5905,2
E01033208,Lambeth 004G,E09000022,Lambeth,20538,7,17495,6,22176,7,26886,8,17856,6,13323,4,20398,7,8956,3
E01033862,Lambeth 003F,E09000022,Lambeth,22911,7,22450,7,30862,10,26607,8,23273,7,8375,3,20925,7,6492,2
E01033863,Lambeth 003G,E09000022,Lambeth,6487,2,5460,2,6392,2,14812,5,11771,4,12730,4,4137,2,3415,2
E01033864,Lambeth 004H,E09000022,Lambeth,7695,3,5599,2,7505,3,15278,5,14629,5,19891,6,4857,2,3417,2
E01033865,Lambeth 004I,E09000022,Lambeth,22131,7,23306,7,30530,10,25113,8,19599,6,8218,3,21796,7,5974,2
E01033866,Lambeth 004J,E09000022,Lambeth,28438,9,28987,9,33366,10,26656,8,22587,7,15936,5,26029,8,11414,4
E01033867,Southwark 002F,E09000028,Southwark,16436,5,16093,5,17425,6,25156,8,13752,5,19671,6,11585,4,5370,2
E01033868,Southwark 002G,E09000028,Southwark,23806,8,29956,9,33026,10,26635,8,16945,6,19684,6,18799,6,2751,1
E01033869,Southwark 004F,E09000028,Southwark,13004,4,7222,3,16360,5,23639,8,19327,6,10453,4,8976,3,8901,3
E01033870,Southwark 004G,E09000028,Southwark,19826,6,15383,5,23115,7,28979,9,17310,6,12298,4,12835,4,13014,4
E01033871,Southwark 004H,E09000028,Southwark,9585,3,8400,3,9798,3,21653,7,9278,3,8080,3,7253,3,8507,3
E01033872,Southwark 004I,E09000028,Southwark,13594,5,10664,4,11987,4,23577,7,19179,6,11586,4,8692,3,10319,4
E01033873,Southwark 009G,E09000028,Southwark,8750,3,9031,3,13477,4,16962,6,10295,4,1699,1,15870,5,3583,2
E01033874,Southwark 009H,E09000028,Southwark,18069,6,29645,9,33254,10,21180,7,15340,5,2493,1,22417,7,2186,1
E01033875,Southwark 012G,E09000028,Southwark,13737,5,9799,3,15829,5,24667,8,22004,7,6157,2,13128,4,6614,2
E01033876,Southwark 012H,E09000028,Southwark,19324,6,18523,6,31254,10,28379,9,14389,5,6551,2,23972,8,4109,2
E01033877,Southwark 012I,E09000028,Southwark,11336,4,10542,4,13747,5,20704,7,11777,4,7203,3,7175,3,7544,3
E01033878,Southwark 015F,E09000028,Southwark,6255,2,6113,2,7720,3,12648,4,12041,4,4672,2,5634,2,2934,1
E01033879,Southwark 015G,E09000028,Southwark,6921,3,5404,2,7046,3,12702,4,11113,4,11899,4,2935,1,9781,3
E01033880,Southwark 015H,E09000028,Southwark,10086,3,22475,7,22883,7,4145,2,14770,5,6171,2,2408,1,2845,1
E01033881,Southwark 016F,E09000028,Southwark,5687,2,1917,1,7359,3,13228,4,12976,4,8854,3,8679,3,6371,2
E01033882,Southwark 022G,E09000028,Southwark,7808,3,8062,3,8310,3,13948,5,8127,3,10174,4,7178,3,4719,2
E01033883,Southwark 022H,E09000028,Southwark,8591,3,7008,3,9716,3,17294,6,14752,5,6926,3,7985,3,4002,2
E01033884,Southwark 035A,E09000028,Southwark,23864,8,21242,7,28965,9,27231,9,16803,5,22910,7,19082,6,8007,3
E01033885,Southwark 036A,E09000028,Southwark,11770,4,8750,3,12072,4,18323,6,18056,6,23101,7,11255,4,2665,1
